filename;size;defect;xmin;xmax;ymin;ymax
light_11_mouse_bite_07_1_256;(600, 600, 3);mouse_bite;569;599;146;183
light_11_mouse_bite_07_1_256;(600, 600, 3);mouse_bite;225;263;91;130
light_11_mouse_bite_07_1_256;(600, 600, 3);mouse_bite;363;400;473;497
l_light_01_short_14_1_600;(600, 600, 3);short;387;415;552;587
rotation_270_light_09_open_circuit_08_4_600;(601, 601, 3);open_circuit;520;536;61;80
rotation_270_light_09_open_circuit_08_4_600;(601, 601, 3);open_circuit;261;277;413;433
rotation_270_light_09_open_circuit_08_4_600;(601, 601, 3);open_circuit;524;542;432;450
l_light_12_short_05_1_600;(600, 600, 3);short;217;235;229;254
light_06_spur_07_4_256;(600, 600, 3);spur;264;281;49;92
light_10_short_03_3_256;(600, 600, 3);short;188;265;222;282
light_10_short_03_3_256;(600, 600, 3);short;66;121;245;317
rotation_90_light_01_open_circuit_06_1_600;(600, 600, 3);open_circuit;302;319;134;150
rotation_90_light_01_open_circuit_06_1_600;(600, 600, 3);open_circuit;335;361;470;490
rotation_90_light_08_short_01_5_600;(600, 600, 3);short;362;399;413;449
rotation_270_light_06_missing_hole_06_2_600;(601, 601, 3);missing_hole;418;441;255;275
rotation_270_light_06_missing_hole_06_2_600;(601, 601, 3);missing_hole;585;599;104;134
rotation_270_light_06_missing_hole_06_2_600;(601, 601, 3);missing_hole;134;162;462;489
l_light_06_open_circuit_01_5_600;(600, 600, 3);open_circuit;327;340;464;480
l_light_06_open_circuit_01_5_600;(600, 600, 3);open_circuit;128;146;22;39
l_light_06_open_circuit_01_5_600;(600, 600, 3);open_circuit;407;421;141;157
l_light_06_open_circuit_01_5_600;(600, 600, 3);open_circuit;104;120;376;393
l_light_06_open_circuit_01_5_600;(600, 600, 3);open_circuit;278;294;268;280
rotation_90_light_07_short_04_4_600;(600, 600, 3);short;117;149;130;161
rotation_90_light_07_short_04_4_600;(600, 600, 3);short;111;149;271;310
rotation_90_light_07_short_04_4_600;(600, 600, 3);short;254;298;469;513
rotation_90_light_07_short_04_4_600;(600, 600, 3);short;211;253;304;343
rotation_270_light_12_missing_hole_05_4_600;(601, 601, 3);missing_hole;525;544;101;117
rotation_270_light_12_missing_hole_05_4_600;(601, 601, 3);missing_hole;455;476;28;50
rotation_270_light_12_missing_hole_05_4_600;(601, 601, 3);missing_hole;451;476;395;417
rotation_270_light_12_missing_hole_05_4_600;(601, 601, 3);missing_hole;296;323;252;276
l_light_11_short_01_1_600;(600, 600, 3);short;480;522;147;190
l_light_11_short_01_1_600;(600, 600, 3);short;463;503;479;512
l_light_01_mouse_bite_09_1_600;(600, 600, 3);mouse_bite;378;394;507;529
rotation_270_light_10_missing_hole_05_5_600;(601, 601, 3);missing_hole;506;547;273;317
rotation_270_light_10_missing_hole_05_5_600;(601, 601, 3);missing_hole;412;456;212;272
rotation_90_light_06_spur_07_5_600;(600, 600, 3);spur;248;293;1;18
rotation_90_light_06_spur_07_5_600;(600, 600, 3);spur;8;40;470;495
rotation_90_light_06_spur_07_5_600;(600, 600, 3);spur;514;548;354;372
rotation_90_light_06_spur_07_5_600;(600, 600, 3);spur;317;332;312;338
rotation_270_light_12_mouse_bite_04_1_600;(601, 601, 3);mouse_bite;312;332;249;279
rotation_270_light_12_mouse_bite_04_1_600;(601, 601, 3);mouse_bite;89;118;248;269
rotation_90_light_11_spur_09_3_600;(600, 600, 3);spur;286;336;516;545
rotation_90_light_11_spur_09_3_600;(600, 600, 3);spur;167;207;505;555
rotation_90_light_11_spur_09_3_600;(600, 600, 3);spur;513;534;485;547
rotation_90_light_11_spur_09_3_600;(600, 600, 3);spur;438;492;308;342
rotation_90_light_06_mouse_bite_08_1_600;(600, 600, 3);mouse_bite;360;376;179;214
rotation_270_light_08_open_circuit_06_3_600;(601, 601, 3);open_circuit;282;294;222;242
rotation_270_light_07_missing_hole_01_1_600;(601, 601, 3);missing_hole;399;442;298;338
rotation_270_light_05_short_09_4_600;(601, 601, 3);short;352;392;197;239
rotation_90_light_11_mouse_bite_09_3_600;(600, 600, 3);mouse_bite;292;324;506;538
rotation_90_light_11_mouse_bite_09_3_600;(600, 600, 3);mouse_bite;515;538;424;457
rotation_270_light_11_mouse_bite_08_1_600;(601, 601, 3);mouse_bite;100;124;302;336
rotation_270_light_11_mouse_bite_08_1_600;(601, 601, 3);mouse_bite;42;64;412;442
rotation_270_light_11_mouse_bite_08_1_600;(601, 601, 3);mouse_bite;334;366;463;497
rotation_270_light_04_mouse_bite_13_5_600;(601, 601, 3);mouse_bite;271;297;28;68
rotation_270_light_04_mouse_bite_13_5_600;(601, 601, 3);mouse_bite;327;356;527;563
rotation_270_light_04_mouse_bite_13_5_600;(601, 601, 3);mouse_bite;37;68;34;57
light_04_spurious_copper_17_2_256;(600, 600, 3);spurious_copper;320;356;411;435
rotation_90_light_05_short_07_4_600;(600, 600, 3);short;495;538;375;415
rotation_90_light_09_spur_03_3_600;(600, 600, 3);spur;567;599;391;409
rotation_90_light_09_spur_03_3_600;(600, 600, 3);spur;81;118;321;341
rotation_90_light_09_spur_03_3_600;(600, 600, 3);spur;477;508;243;265
rotation_270_light_06_mouse_bite_04_5_600;(601, 601, 3);mouse_bite;521;537;210;243
rotation_270_light_06_mouse_bite_04_5_600;(601, 601, 3);mouse_bite;145;181;527;543
rotation_270_light_06_mouse_bite_04_5_600;(601, 601, 3);mouse_bite;212;243;87;102
rotation_270_light_06_mouse_bite_04_5_600;(601, 601, 3);mouse_bite;324;338;80;106
l_light_09_short_05_5_600;(600, 600, 3);short;347;394;23;53
l_light_09_short_05_5_600;(600, 600, 3);short;156;192;67;94
l_light_09_short_05_5_600;(600, 600, 3);short;14;81;206;232
l_light_09_short_05_5_600;(600, 600, 3);short;217;242;206;235
l_light_09_short_05_5_600;(600, 600, 3);short;494;524;259;289
light_10_missing_hole_04_3_256;(600, 600, 3);missing_hole;313;353;578;599
light_10_missing_hole_04_3_256;(600, 600, 3);missing_hole;489;524;469;505
l_light_05_spur_09_5_600;(600, 600, 3);spur;437;467;167;190
l_light_05_spur_09_5_600;(600, 600, 3);spur;79;125;199;229
l_light_05_spur_09_5_600;(600, 600, 3);spur;1;47;83;114
l_light_05_spur_09_5_600;(600, 600, 3);spur;304;327;484;522
l_light_01_spur_05_3_600;(600, 600, 3);spur;551;583;315;339
light_10_short_03_1_256;(600, 600, 3);short;577;599;245;317
l_light_11_open_circuit_01_5_600;(600, 600, 3);open_circuit;255;283;42;68
l_light_11_open_circuit_01_5_600;(600, 600, 3);open_circuit;60;85;183;206
l_light_11_open_circuit_01_5_600;(600, 600, 3);open_circuit;341;368;203;226
l_light_11_open_circuit_01_5_600;(600, 600, 3);open_circuit;300;316;473;494
l_light_08_spur_02_5_600;(600, 600, 3);spur;68;112;374;393
l_light_08_spur_02_5_600;(600, 600, 3);spur;406;431;218;262
rotation_90_light_08_missing_hole_03_2_600;(600, 600, 3);missing_hole;538;568;110;138
light_10_missing_hole_04_2_256;(600, 600, 3);missing_hole;358;417;83;148
rotation_270_light_04_spurious_copper_14_1_600;(601, 601, 3);spurious_copper;210;262;246;271
rotation_270_light_04_spurious_copper_14_1_600;(601, 601, 3);spurious_copper;1;46;150;168
rotation_270_light_11_spur_09_4_600;(601, 601, 3);spur;465;486;54;116
rotation_270_light_11_spur_09_4_600;(601, 601, 3);spur;506;560;259;293
rotation_270_light_10_missing_hole_05_4_600;(601, 601, 3);missing_hole;149;187;150;190
light_07_open_circuit_06_4_256;(600, 600, 3);open_circuit;117;143;112;140
light_07_open_circuit_06_4_256;(600, 600, 3);open_circuit;230;251;17;37
light_07_open_circuit_06_4_256;(600, 600, 3);open_circuit;505;526;224;248
light_07_open_circuit_06_4_256;(600, 600, 3);open_circuit;486;510;159;180
light_12_missing_hole_06_5_256;(600, 600, 3);missing_hole;270;289;202;225
light_12_missing_hole_06_5_256;(600, 600, 3);missing_hole;433;454;202;225
light_12_missing_hole_06_5_256;(600, 600, 3);missing_hole;248;268;380;404
l_light_11_spurious_copper_01_3_600;(600, 600, 3);spurious_copper;83;101;287;328
l_light_11_spurious_copper_01_3_600;(600, 600, 3);spurious_copper;130;160;485;502
light_12_open_circuit_10_5_256;(600, 600, 3);open_circuit;477;490;125;141
light_12_open_circuit_10_5_256;(600, 600, 3);open_circuit;63;78;439;455
light_12_open_circuit_10_5_256;(600, 600, 3);open_circuit;6;27;333;349
rotation_90_light_07_spurious_copper_07_1_600;(600, 600, 3);spurious_copper;484;515;1;64
l_light_06_spur_02_2_600;(600, 600, 3);spur;190;232;12;31
l_light_06_spur_02_2_600;(600, 600, 3);spur;193;206;262;293
l_light_06_spur_02_2_600;(600, 600, 3);spur;431;483;528;553
light_04_mouse_bite_05_3_256;(600, 600, 3);mouse_bite;130;154;53;78
light_04_mouse_bite_05_3_256;(600, 600, 3);mouse_bite;328;348;1;23
rotation_90_light_11_open_circuit_10_1_600;(600, 600, 3);open_circuit;301;325;97;122
rotation_90_light_11_open_circuit_10_1_600;(600, 600, 3);open_circuit;493;517;162;186
l_light_08_short_03_3_600;(600, 600, 3);short;506;544;575;599
rotation_90_light_12_missing_hole_04_3_600;(600, 600, 3);missing_hole;525;546;471;490
rotation_90_light_12_missing_hole_04_3_600;(600, 600, 3);missing_hole;559;578;389;409
rotation_90_light_12_missing_hole_04_3_600;(600, 600, 3);missing_hole;402;423;389;407
rotation_90_light_12_missing_hole_04_3_600;(600, 600, 3);missing_hole;399;425;224;245
rotation_90_light_12_missing_hole_04_3_600;(600, 600, 3);missing_hole;176;195;462;479
rotation_90_light_05_mouse_bite_09_1_600;(600, 600, 3);mouse_bite;264;284;113;145
rotation_90_light_04_mouse_bite_19_3_600;(600, 600, 3);mouse_bite;561;591;315;336
l_light_07_spurious_copper_02_4_600;(600, 600, 3);spurious_copper;151;187;2;49
l_light_07_spurious_copper_02_4_600;(600, 600, 3);spurious_copper;339;393;142;169
l_light_07_spurious_copper_02_4_600;(600, 600, 3);spurious_copper;78;147;281;312
l_light_07_spurious_copper_02_4_600;(600, 600, 3);spurious_copper;562;599;61;104
l_light_07_spurious_copper_02_4_600;(600, 600, 3);spurious_copper;157;230;476;500
rotation_270_light_04_mouse_bite_10_2_600;(601, 601, 3);mouse_bite;401;437;241;267
rotation_270_light_04_mouse_bite_10_2_600;(601, 601, 3);mouse_bite;316;349;199;220
rotation_270_light_04_spur_04_2_600;(601, 601, 3);spur;436;470;248;269
rotation_270_light_04_spur_04_2_600;(601, 601, 3);spur;423;463;173;196
light_05_mouse_bite_10_4_256;(600, 600, 3);mouse_bite;274;298;52;93
light_05_mouse_bite_10_4_256;(600, 600, 3);mouse_bite;324;362;220;239
light_05_mouse_bite_10_4_256;(600, 600, 3);mouse_bite;129;145;190;219
l_light_08_missing_hole_05_4_600;(600, 600, 3);missing_hole;207;235;471;503
l_light_08_missing_hole_05_4_600;(600, 600, 3);missing_hole;109;140;145;176
rotation_270_light_08_missing_hole_01_3_600;(601, 601, 3);missing_hole;19;45;400;424
l_light_11_short_04_1_600;(600, 600, 3);short;481;526;215;246
l_light_11_short_04_1_600;(600, 600, 3);short;298;346;331;370
l_light_11_short_04_1_600;(600, 600, 3);short;179;215;320;362
l_light_11_short_04_1_600;(600, 600, 3);short;194;255;224;256
light_12_spurious_copper_10_2_256;(600, 600, 3);spurious_copper;427;462;334;350
light_12_spurious_copper_10_2_256;(600, 600, 3);spurious_copper;124;155;246;265
rotation_270_light_10_missing_hole_04_1_600;(601, 601, 3);missing_hole;51;117;358;418
rotation_90_light_11_short_01_1_600;(600, 600, 3);short;146;190;78;121
rotation_90_light_11_short_01_1_600;(600, 600, 3);short;479;512;97;138
l_light_04_short_17_3_600;(600, 600, 3);short;142;170;3;36
l_light_04_short_17_3_600;(600, 600, 3);short;71;104;267;299
rotation_270_light_10_spurious_copper_02_2_600;(601, 601, 3);spurious_copper;441;495;534;558
rotation_270_light_01_mouse_bite_17_1_600;(601, 601, 3);mouse_bite;41;60;56;75
l_light_05_short_07_4_600;(600, 600, 3);short;186;225;496;537
light_12_missing_hole_09_5_256;(600, 600, 3);missing_hole;135;155;303;325
light_12_missing_hole_09_5_256;(600, 600, 3);missing_hole;251;269;199;223
light_12_missing_hole_09_5_256;(600, 600, 3);missing_hole;370;392;323;346
rotation_90_light_07_missing_hole_08_1_600;(600, 600, 3);missing_hole;396;432;69;106
rotation_270_light_04_missing_hole_01_3_600;(601, 601, 3);missing_hole;266;293;229;248
rotation_270_light_10_open_circuit_04_1_600;(601, 601, 3);open_circuit;53;81;505;551
rotation_270_light_10_open_circuit_04_1_600;(601, 601, 3);open_circuit;142;179;376;416
rotation_270_light_09_spurious_copper_10_3_600;(601, 601, 3);spurious_copper;468;518;244;273
rotation_270_light_09_spurious_copper_10_3_600;(601, 601, 3);spurious_copper;314;348;209;228
rotation_270_light_09_spurious_copper_10_3_600;(601, 601, 3);spurious_copper;286;329;139;165
rotation_270_light_08_open_circuit_04_2_600;(601, 601, 3);open_circuit;423;439;324;346
rotation_270_light_08_open_circuit_04_2_600;(601, 601, 3);open_circuit;523;541;177;197
rotation_270_light_08_open_circuit_04_2_600;(601, 601, 3);open_circuit;560;573;325;348
rotation_90_light_05_open_circuit_04_3_600;(600, 600, 3);open_circuit;318;340;315;335
rotation_90_light_05_open_circuit_04_3_600;(600, 600, 3);open_circuit;420;445;576;599
rotation_90_light_05_open_circuit_04_3_600;(600, 600, 3);open_circuit;237;259;407;432
rotation_90_light_09_open_circuit_06_4_600;(600, 600, 3);open_circuit;197;214;519;535
l_light_08_mouse_bite_04_4_600;(600, 600, 3);mouse_bite;435;459;65;88
rotation_270_light_08_short_05_4_600;(601, 601, 3);short;215;241;570;599
rotation_270_light_08_short_05_4_600;(601, 601, 3);short;491;518;578;599
l_light_08_mouse_bite_03_3_600;(600, 600, 3);mouse_bite;361;389;94;126
l_light_08_mouse_bite_03_3_600;(600, 600, 3);mouse_bite;152;176;201;219
l_light_08_mouse_bite_03_3_600;(600, 600, 3);mouse_bite;423;448;203;235
l_light_01_missing_hole_15_1_600;(600, 600, 3);missing_hole;1;33;325;360
light_08_short_03_4_256;(600, 600, 3);short;430;459;217;247
light_08_short_03_4_256;(600, 600, 3);short;506;544;175;215
light_08_short_03_4_256;(600, 600, 3);short;508;553;354;391
light_07_missing_hole_01_3_256;(600, 600, 3);missing_hole;220;265;137;186
light_07_missing_hole_01_3_256;(600, 600, 3);missing_hole;361;409;5;44
rotation_270_light_01_missing_hole_16_5_600;(601, 601, 3);missing_hole;299;339;290;327
l_light_04_mouse_bite_08_2_600;(600, 600, 3);mouse_bite;174;194;152;175
l_light_04_open_circuit_12_1_600;(600, 600, 3);open_circuit;369;395;451;470
l_light_04_open_circuit_12_1_600;(600, 600, 3);open_circuit;472;497;488;512
light_09_spur_06_2_256;(600, 600, 3);spur;158;202;373;397
rotation_270_light_04_missing_hole_13_1_600;(601, 601, 3);missing_hole;2;27;268;289
rotation_270_light_04_missing_hole_13_1_600;(601, 601, 3);missing_hole;387;415;73;103
light_09_spur_05_2_256;(600, 600, 3);spur;492;509;116;144
rotation_90_light_11_open_circuit_09_1_600;(600, 600, 3);open_circuit;158;182;233;259
rotation_90_light_11_open_circuit_09_1_600;(600, 600, 3);open_circuit;262;282;426;466
rotation_90_light_11_open_circuit_09_1_600;(600, 600, 3);open_circuit;574;599;380;409
light_10_mouse_bite_02_4_256;(600, 600, 3);mouse_bite;244;287;76;106
light_10_mouse_bite_02_4_256;(600, 600, 3);mouse_bite;437;468;101;126
l_light_05_open_circuit_01_1_600;(600, 600, 3);open_circuit;410;434;395;421
l_light_05_open_circuit_01_1_600;(600, 600, 3);open_circuit;212;237;291;313
light_05_mouse_bite_06_1_256;(600, 600, 3);mouse_bite;565;585;288;322
light_05_mouse_bite_06_1_256;(600, 600, 3);mouse_bite;330;364;374;393
rotation_90_light_06_open_circuit_10_5_600;(600, 600, 3);open_circuit;230;252;48;61
rotation_90_light_06_open_circuit_10_5_600;(600, 600, 3);open_circuit;247;265;337;358
rotation_90_light_06_open_circuit_10_5_600;(600, 600, 3);open_circuit;369;394;498;514
rotation_270_light_08_missing_hole_07_3_600;(601, 601, 3);missing_hole;90;118;192;221
rotation_270_light_08_missing_hole_07_3_600;(601, 601, 3);missing_hole;126;162;309;341
light_09_open_circuit_02_3_256;(600, 600, 3);open_circuit;115;130;134;145
light_09_open_circuit_02_3_256;(600, 600, 3);open_circuit;86;101;472;488
light_09_open_circuit_02_3_256;(600, 600, 3);open_circuit;165;179;549;566
light_09_open_circuit_02_3_256;(600, 600, 3);open_circuit;514;534;453;488
rotation_90_light_05_spurious_copper_04_1_600;(600, 600, 3);spurious_copper;225;237;440;495
light_05_spurious_copper_10_1_256;(600, 600, 3);spurious_copper;298;398;147;170
light_05_spurious_copper_10_1_256;(600, 600, 3);spurious_copper;252;330;328;350
l_light_11_spur_04_2_600;(600, 600, 3);spur;343;390;119;143
l_light_01_mouse_bite_17_2_600;(600, 600, 3);mouse_bite;56;74;140;158
l_light_01_mouse_bite_17_2_600;(600, 600, 3);mouse_bite;409;428;386;412
l_light_11_spurious_copper_05_3_600;(600, 600, 3);spurious_copper;204;237;154;191
l_light_11_spurious_copper_05_3_600;(600, 600, 3);spurious_copper;100;147;485;503
l_light_11_spurious_copper_05_3_600;(600, 600, 3);spurious_copper;196;227;537;566
l_light_10_open_circuit_05_1_600;(600, 600, 3);open_circuit;570;595;204;240
l_light_04_short_13_3_600;(600, 600, 3);short;132;184;128;171
light_11_open_circuit_06_5_256;(600, 600, 3);open_circuit;11;32;131;163
light_11_open_circuit_06_5_256;(600, 600, 3);open_circuit;203;224;336;357
rotation_270_light_10_open_circuit_06_3_600;(601, 601, 3);open_circuit;93;134;158;182
rotation_270_light_10_open_circuit_06_3_600;(601, 601, 3);open_circuit;1;21;1;41
l_light_11_spur_07_5_600;(600, 600, 3);spur;275;312;77;123
l_light_11_spur_07_5_600;(600, 600, 3);spur;431;465;503;554
l_light_11_spur_07_5_600;(600, 600, 3);spur;8;58;297;335
light_09_spurious_copper_10_1_256;(600, 600, 3);spurious_copper;360;405;318;348
l_light_04_spur_03_2_600;(600, 600, 3);spur;154;177;124;155
l_light_04_spur_03_2_600;(600, 600, 3);spur;417;436;288;322
l_light_04_spur_03_2_600;(600, 600, 3);spur;127;147;324;355
l_light_11_open_circuit_05_2_600;(600, 600, 3);open_circuit;279;303;118;147
l_light_11_open_circuit_05_2_600;(600, 600, 3);open_circuit;481;505;255;279
light_06_open_circuit_07_1_256;(600, 600, 3);open_circuit;516;540;171;195
light_06_open_circuit_07_1_256;(600, 600, 3);open_circuit;517;529;459;478
rotation_90_light_05_spur_08_2_600;(600, 600, 3);spur;206;234;294;336
l_light_04_open_circuit_12_3_600;(600, 600, 3);open_circuit;227;253;348;369
rotation_270_light_05_mouse_bite_06_4_600;(601, 601, 3);mouse_bite;476;511;276;297
rotation_270_light_05_mouse_bite_06_4_600;(601, 601, 3);mouse_bite;405;425;41;76
rotation_270_light_05_mouse_bite_06_4_600;(601, 601, 3);mouse_bite;138;161;455;484
l_light_04_mouse_bite_10_3_600;(600, 600, 3);mouse_bite;5;38;356;381
rotation_90_light_04_mouse_bite_05_3_600;(600, 600, 3);mouse_bite;52;78;446;471
rotation_90_light_04_mouse_bite_05_3_600;(600, 600, 3);mouse_bite;1;23;252;273
rotation_90_light_04_missing_hole_18_1_600;(600, 600, 3);missing_hole;582;599;33;55
rotation_90_light_04_missing_hole_18_1_600;(600, 600, 3);missing_hole;388;416;218;242
rotation_90_light_12_mouse_bite_06_1_600;(600, 600, 3);mouse_bite;447;466;279;310
rotation_90_light_12_mouse_bite_06_1_600;(600, 600, 3);mouse_bite;582;599;326;353
light_12_missing_hole_10_1_256;(600, 600, 3);missing_hole;549;572;488;510
light_12_missing_hole_10_1_256;(600, 600, 3);missing_hole;348;368;350;371
light_12_missing_hole_10_1_256;(600, 600, 3);missing_hole;275;291;305;321
rotation_90_light_08_short_05_4_600;(600, 600, 3);short;359;385;1;31
rotation_90_light_08_short_05_4_600;(600, 600, 3);short;81;108;1;23
l_light_04_spurious_copper_03_3_600;(600, 600, 3);spurious_copper;407;455;259;271
l_light_04_spurious_copper_03_3_600;(600, 600, 3);spurious_copper;534;545;55;90
l_light_04_spurious_copper_03_3_600;(600, 600, 3);spurious_copper;569;588;139;179
rotation_90_light_06_spur_06_2_600;(600, 600, 3);spur;155;193;176;193
light_04_spurious_copper_03_1_256;(600, 600, 3);spurious_copper;87;135;459;471
light_04_spurious_copper_03_1_256;(600, 600, 3);spurious_copper;214;225;255;290
light_04_spurious_copper_03_1_256;(600, 600, 3);spurious_copper;249;268;339;379
rotation_270_light_01_short_01_3_600;(601, 601, 3);short;279;305;139;173
l_light_04_spur_07_4_600;(600, 600, 3);spur;339;365;154;187
l_light_01_mouse_bite_14_2_600;(600, 600, 3);mouse_bite;462;483;481;501
l_light_01_mouse_bite_14_2_600;(600, 600, 3);mouse_bite;281;299;178;197
light_06_spur_09_4_256;(600, 600, 3);spur;473;489;383;425
light_06_spur_09_4_256;(600, 600, 3);spur;485;519;531;543
light_06_spur_09_4_256;(600, 600, 3);spur;578;599;90;133
l_light_10_missing_hole_03_3_600;(600, 600, 3);missing_hole;244;278;1;23
l_light_10_missing_hole_03_3_600;(600, 600, 3);missing_hole;194;226;153;184
l_light_10_missing_hole_03_3_600;(600, 600, 3);missing_hole;17;62;309;351
l_light_10_missing_hole_03_3_600;(600, 600, 3);missing_hole;155;186;336;368
l_light_10_short_05_2_600;(600, 600, 3);short;566;599;319;386
l_light_08_spurious_copper_05_1_600;(600, 600, 3);spurious_copper;366;387;415;453
l_light_07_short_07_1_600;(600, 600, 3);short;552;595;455;490
rotation_270_light_11_spurious_copper_05_1_600;(601, 601, 3);spurious_copper;506;531;362;407
rotation_270_light_11_spurious_copper_05_1_600;(601, 601, 3);spurious_copper;113;136;356;398
rotation_270_light_11_spurious_copper_05_1_600;(601, 601, 3);spurious_copper;96;115;515;563
l_light_05_open_circuit_07_4_600;(600, 600, 3);open_circuit;117;140;307;325
rotation_90_light_04_mouse_bite_15_4_600;(600, 600, 3);mouse_bite;88;110;530;564
rotation_90_light_05_missing_hole_06_3_600;(600, 600, 3);missing_hole;497;521;380;404
rotation_90_light_05_missing_hole_06_3_600;(600, 600, 3);missing_hole;68;95;426;455
l_light_10_short_01_5_600;(600, 600, 3);short;227;311;87;139
l_light_10_short_01_5_600;(600, 600, 3);short;296;354;569;599
light_06_missing_hole_07_1_256;(600, 600, 3);missing_hole;552;578;314;336
light_06_missing_hole_07_1_256;(600, 600, 3);missing_hole;499;522;499;522
rotation_90_light_12_missing_hole_07_2_600;(600, 600, 3);missing_hole;87;108;28;52
rotation_90_light_12_missing_hole_07_2_600;(600, 600, 3);missing_hole;9;31;318;338
rotation_270_light_07_spur_06_1_600;(601, 601, 3);spur;99;129;564;599
rotation_270_light_07_spur_06_1_600;(601, 601, 3);spur;347;377;366;425
l_light_07_spur_01_4_600;(600, 600, 3);spur;465;500;230;266
l_light_07_spur_01_4_600;(600, 600, 3);spur;185;232;248;268
l_light_07_spur_01_4_600;(600, 600, 3);spur;404;456;481;502
l_light_12_missing_hole_09_3_600;(600, 600, 3);missing_hole;439;460;103;127
l_light_12_missing_hole_09_3_600;(600, 600, 3);missing_hole;51;69;399;423
l_light_12_missing_hole_09_3_600;(600, 600, 3);missing_hole;423;441;430;446
l_light_12_missing_hole_09_3_600;(600, 600, 3);missing_hole;170;192;523;546
rotation_90_light_01_short_15_2_600;(600, 600, 3);short;301;334;136;160
rotation_90_light_01_short_15_2_600;(600, 600, 3);short;154;187;185;217
rotation_90_light_01_short_15_2_600;(600, 600, 3);short;192;220;286;319
light_01_spur_10_2_256;(600, 600, 3);spur;113;132;305;328
light_01_spur_10_2_256;(600, 600, 3);spur;335;353;348;368
rotation_90_light_06_spurious_copper_04_3_600;(600, 600, 3);spurious_copper;187;201;398;441
