Index;file;width;height;depth;class;xmin;ymin;xmax;ymax
37;light_01_missing_hole_11_2_600;600;600;3;missing_hole;305;133;353;177
38;light_01_missing_hole_11_3_600;600;600;3;missing_hole;1;433;40;473
39;light_01_missing_hole_11_4_600;600;600;3;missing_hole;1;33;40;73
40;light_01_missing_hole_11_5_600;600;600;3;missing_hole;291;265;326;304
41;light_01_missing_hole_12_2_600;600;600;3;missing_hole;349;189;391;223
42;light_01_missing_hole_12_2_600;600;600;3;missing_hole;240;370;281;404
43;light_01_missing_hole_12_3_600;600;600;3;missing_hole;15;461;47;500
44;light_01_missing_hole_13_1_600;600;600;3;missing_hole;448;392;483;430
45;light_01_missing_hole_13_2_600;600;600;3;missing_hole;448;1;483;30
46;light_01_missing_hole_13_3_600;600;600;3;missing_hole;218;1;264;27
47;light_01_missing_hole_13_3_600;600;600;3;missing_hole;190;266;224;305
48;light_01_missing_hole_14_1_600;600;600;3;missing_hole;101;475;138;511
49;light_01_missing_hole_14_1_600;600;600;3;missing_hole;546;394;577;428
50;light_01_missing_hole_14_2_600;600;600;3;missing_hole;101;75;138;111
51;light_01_missing_hole_14_2_600;600;600;3;missing_hole;546;1;577;28
52;light_01_missing_hole_14_3_600;600;600;3;missing_hole;136;405;175;448
53;light_01_missing_hole_14_4_600;600;600;3;missing_hole;136;5;175;48
54;light_01_missing_hole_15_1_600;600;600;3;missing_hole;1;325;33;360
55;light_01_missing_hole_15_2_600;600;600;3;missing_hole;1;253;36;285
56;light_01_missing_hole_15_2_600;600;600;3;missing_hole;247;298;280;329
57;light_01_missing_hole_16_1_600;600;600;3;missing_hole;407;455;442;493
58;light_01_missing_hole_16_2_600;600;600;3;missing_hole;407;55;442;93
59;light_01_missing_hole_16_3_600;600;600;3;missing_hole;276;441;316;480
60;light_01_missing_hole_16_4_600;600;600;3;missing_hole;276;41;316;80
61;light_01_missing_hole_16_5_600;600;600;3;missing_hole;290;261;326;300
62;light_01_missing_hole_17_1_600;600;600;3;missing_hole;579;185;599;232
63;light_01_missing_hole_17_2_600;600;600;3;missing_hole;304;309;339;350
64;light_01_missing_hole_17_3_600;600;600;3;missing_hole;433;484;472;522
65;light_01_missing_hole_18_1_600;600;600;3;missing_hole;69;577;106;599
66;light_01_missing_hole_18_2_600;600;600;3;missing_hole;69;177;106;217
67;light_01_missing_hole_18_3_600;600;600;3;missing_hole;77;558;112;590
68;light_01_missing_hole_18_3_600;600;600;3;missing_hole;437;527;472;558
69;light_01_missing_hole_19_1_600;600;600;3;missing_hole;215;475;244;512
70;light_01_missing_hole_19_1_600;600;600;3;missing_hole;107;362;143;401
71;light_01_missing_hole_19_2_600;600;600;3;missing_hole;215;75;244;112
72;light_01_missing_hole_19_3_600;600;600;3;missing_hole;225;266;257;305
73;light_01_missing_hole_20_1_600;600;600;3;missing_hole;145;363;173;396
74;light_01_missing_hole_20_2_600;600;600;3;missing_hole;283;144;319;190
75;light_01_missing_hole_20_3_600;600;600;3;missing_hole;351;296;386;331
76;light_01_mouse_bite_01_1_600;600;600;3;mouse_bite;325;561;339;579
77;light_01_mouse_bite_01_2_600;600;600;3;mouse_bite;325;161;339;179
78;light_01_mouse_bite_01_3_600;600;600;3;mouse_bite;302;377;319;403
79;light_01_mouse_bite_02_1_600;600;600;3;mouse_bite;496;254;519;276
80;light_01_mouse_bite_02_2_600;600;600;3;mouse_bite;307;536;334;561
81;light_01_mouse_bite_03_1_600;600;600;3;mouse_bite;1;116;23;151
82;light_01_mouse_bite_03_1_600;600;600;3;mouse_bite;142;474;163;493
83;light_01_mouse_bite_03_1_600;600;600;3;mouse_bite;406;203;430;226
84;light_01_mouse_bite_04_1_600;600;600;3;mouse_bite;322;564;342;585
85;light_01_mouse_bite_04_1_600;600;600;3;mouse_bite;306;345;328;367
86;light_01_mouse_bite_04_2_600;600;600;3;mouse_bite;322;164;342;185
87;light_01_mouse_bite_04_3_600;600;600;3;mouse_bite;568;278;588;294
88;light_01_mouse_bite_05_1_600;600;600;3;mouse_bite;54;188;77;208
89;light_01_mouse_bite_05_1_600;600;600;3;mouse_bite;77;389;95;411
90;light_01_mouse_bite_05_2_600;600;600;3;mouse_bite;45;329;64;350
91;light_01_mouse_bite_06_1_600;600;600;3;mouse_bite;347;202;367;221
92;light_01_mouse_bite_06_1_600;600;600;3;mouse_bite;468;521;486;549
93;light_01_mouse_bite_06_2_600;600;600;3;mouse_bite;468;121;486;149
94;light_01_mouse_bite_07_1_600;600;600;3;mouse_bite;279;579;299;596
95;light_01_mouse_bite_07_2_600;600;600;3;mouse_bite;279;179;299;196
96;light_01_mouse_bite_07_2_600;600;600;3;mouse_bite;419;422;442;446
97;light_01_mouse_bite_07_3_600;600;600;3;mouse_bite;273;55;294;90
98;light_01_mouse_bite_08_1_600;600;600;3;mouse_bite;529;294;550;322
99;light_01_mouse_bite_09_1_600;600;600;3;mouse_bite;378;507;394;529
100;light_01_mouse_bite_09_2_600;600;600;3;mouse_bite;112;303;130;320
101;light_01_mouse_bite_09_2_600;600;600;3;mouse_bite;378;107;394;129
102;light_01_mouse_bite_10_1_600;600;600;3;mouse_bite;282;268;318;292
103;light_01_mouse_bite_10_2_600;600;600;3;mouse_bite;413;206;433;226
104;light_01_mouse_bite_11_1_600;600;600;3;mouse_bite;101;410;121;432
105;light_01_mouse_bite_11_1_600;600;600;3;mouse_bite;273;184;293;202
106;light_01_mouse_bite_12_1_600;600;600;3;mouse_bite;325;557;342;578
107;light_01_mouse_bite_12_1_600;600;600;3;mouse_bite;369;202;392;222
108;light_01_mouse_bite_12_2_600;600;600;3;mouse_bite;325;157;342;178
109;light_01_mouse_bite_12_2_600;600;600;3;mouse_bite;467;364;487;389
110;light_01_mouse_bite_13_1_600;600;600;3;mouse_bite;315;534;337;557
111;light_01_mouse_bite_14_1_600;600;600;3;mouse_bite;281;578;299;597
112;light_01_mouse_bite_14_2_600;600;600;3;mouse_bite;462;481;483;501
113;light_01_mouse_bite_14_2_600;600;600;3;mouse_bite;281;178;299;197
114;light_01_mouse_bite_15_1_600;600;600;3;mouse_bite;380;265;400;283
115;light_01_mouse_bite_15_2_600;600;600;3;mouse_bite;361;353;379;372
116;light_01_mouse_bite_16_1_600;600;600;3;mouse_bite;295;202;315;221
117;light_01_mouse_bite_16_1_600;600;600;3;mouse_bite;434;194;449;216
118;light_01_mouse_bite_16_2_600;600;600;3;mouse_bite;83;303;105;331
119;light_01_mouse_bite_17_1_600;600;600;3;mouse_bite;56;540;74;558
120;light_01_mouse_bite_17_2_600;600;600;3;mouse_bite;56;140;74;158
121;light_01_mouse_bite_17_2_600;600;600;3;mouse_bite;409;386;428;412
122;light_01_mouse_bite_17_3_600;600;600;3;mouse_bite;299;381;317;403
123;light_01_mouse_bite_18_1_600;600;600;3;mouse_bite;248;481;268;500
124;light_01_mouse_bite_19_1_600;600;600;3;mouse_bite;458;372;475;392
125;light_01_mouse_bite_19_1_600;600;600;3;mouse_bite;408;412;434;437
126;light_01_mouse_bite_20_1_600;600;600;3;mouse_bite;501;418;525;444
127;light_01_open_circuit_01_1_600;600;600;3;open_circuit;315;526;342;559
128;light_01_open_circuit_01_1_600;600;600;3;open_circuit;407;96;432;116
129;light_01_open_circuit_02_1_600;600;600;3;open_circuit;490;312;509;334
130;light_01_open_circuit_02_2_600;600;600;3;open_circuit;387;555;405;574
131;light_01_open_circuit_03_1_600;600;600;3;open_circuit;379;574;398;593
132;light_01_open_circuit_03_2_600;600;600;3;open_circuit;379;174;398;193
133;light_01_open_circuit_03_3_600;600;600;3;open_circuit;240;515;264;538
134;light_01_open_circuit_03_3_600;600;600;3;open_circuit;409;22;430;45
135;light_01_open_circuit_04_1_600;600;600;3;open_circuit;460;407;480;428
136;light_01_open_circuit_04_2_600;600;600;3;open_circuit;48;188;69;208
137;light_01_open_circuit_04_3_600;600;600;3;open_circuit;62;288;86;314
138;light_01_open_circuit_05_1_600;600;600;3;open_circuit;79;382;97;403
139;light_01_open_circuit_05_2_600;600;600;3;open_circuit;400;198;419;216
140;light_01_open_circuit_06_1_600;600;600;3;open_circuit;451;303;466;319
141;light_01_open_circuit_06_1_600;600;600;3;open_circuit;111;336;130;361
142;light_01_open_circuit_06_2_600;600;600;3;open_circuit;299;386;317;405
143;light_01_open_circuit_07_1_600;600;600;3;open_circuit;71;188;94;208
144;light_01_open_circuit_07_1_600;600;600;3;open_circuit;300;344;320;363
145;light_01_open_circuit_07_2_600;600;600;3;open_circuit;398;195;417;215
146;light_01_open_circuit_08_1_600;600;600;3;open_circuit;451;469;470;487
147;light_01_open_circuit_08_2_600;600;600;3;open_circuit;451;69;470;87
148;light_01_open_circuit_08_3_600;600;600;3;open_circuit;401;202;427;225
149;light_01_open_circuit_09_1_600;600;600;3;open_circuit;306;208;324;231
150;light_01_open_circuit_09_2_600;600;600;3;open_circuit;253;181;272;202
151;light_01_open_circuit_09_3_600;600;600;3;open_circuit;388;377;404;394
152;light_01_open_circuit_10_1_600;600;600;3;open_circuit;235;521;261;544
153;light_01_open_circuit_10_1_600;600;600;3;open_circuit;106;415;120;429
154;light_01_open_circuit_11_1_600;600;600;3;open_circuit;341;332;359;347
155;light_01_open_circuit_11_1_600;600;600;3;open_circuit;296;364;324;384
156;light_01_open_circuit_12_2_600;600;600;3;open_circuit;402;198;417;214
157;light_01_open_circuit_12_2_600;600;600;3;open_circuit;400;344;415;358
158;light_01_open_circuit_12_3_600;600;600;3;open_circuit;421;171;435;186
159;light_01_open_circuit_13_1_600;600;600;3;open_circuit;280;571;297;589
160;light_01_open_circuit_13_2_600;600;600;3;open_circuit;367;284;381;299
161;light_01_open_circuit_13_2_600;600;600;3;open_circuit;280;171;297;189
162;light_01_open_circuit_13_3_600;600;600;3;open_circuit;184;301;201;317
163;light_01_open_circuit_14_1_600;600;600;3;open_circuit;473;522;486;543
164;light_01_open_circuit_14_2_600;600;600;3;open_circuit;473;122;486;143
165;light_01_open_circuit_15_1_600;600;600;3;open_circuit;461;407;477;427
166;light_01_open_circuit_15_1_600;600;600;3;open_circuit;300;262;326;281
167;light_01_open_circuit_15_1_600;600;600;3;open_circuit;113;310;129;327
168;light_01_open_circuit_16_1_600;600;600;3;open_circuit;502;316;518;331
169;light_01_open_circuit_16_1_600;600;600;3;open_circuit;300;359;317;377
170;light_01_open_circuit_17_1_600;600;600;3;open_circuit;325;456;343;472
171;light_01_open_circuit_17_1_600;600;600;3;open_circuit;37;552;52;567
172;light_01_open_circuit_17_2_600;600;600;3;open_circuit;325;56;343;72
173;light_01_open_circuit_17_2_600;600;600;3;open_circuit;218;304;234;324
174;light_01_open_circuit_17_2_600;600;600;3;open_circuit;37;152;52;167
175;light_01_open_circuit_18_1_600;600;600;3;open_circuit;396;404;420;425
176;light_01_open_circuit_18_1_600;600;600;3;open_circuit;199;482;220;499
177;light_01_open_circuit_18_2_600;600;600;3;open_circuit;133;528;164;548
178;light_01_open_circuit_19_1_600;600;600;3;open_circuit;451;232;464;247
179;light_01_open_circuit_19_2_600;600;600;3;open_circuit;223;341;239;358
180;light_01_open_circuit_19_3_600;600;600;3;open_circuit;407;24;430;42
181;light_01_open_circuit_20_1_600;600;600;3;open_circuit;40;333;61;349
182;light_01_open_circuit_20_1_600;600;600;3;open_circuit;262;491;286;508
183;light_01_short_01_2_600;600;600;3;short;482;317;521;356
184;light_01_short_01_2_600;600;600;3;short;340;191;382;228
185;light_01_short_01_3_600;600;600;3;short;139;295;172;320
186;light_01_short_02_1_600;600;600;3;short;303;352;338;375
187;light_01_short_03_1_600;600;600;3;short;497;362;529;395
188;light_01_short_04_1_600;600;600;3;short;79;317;125;367
189;light_01_short_04_1_600;600;600;3;short;166;333;207;372
190;light_01_short_05_2_600;600;600;3;short;354;265;390;300
191;light_01_short_06_1_600;600;600;3;short;282;583;325;599
192;light_01_short_06_2_600;600;600;3;short;477;444;518;483
193;light_01_short_06_2_600;600;600;3;short;282;183;325;224
194;light_01_short_06_3_600;600;600;3;short;1;469;34;510
195;light_01_short_07_1_600;600;600;3;short;446;304;485;336
196;light_01_short_07_2_600;600;600;3;short;382;132;443;188
197;light_01_short_07_2_600;600;600;3;short;353;575;407;599
198;light_01_short_08_2_600;600;600;3;short;173;336;214;377
199;light_01_short_08_2_600;600;600;3;short;370;302;434;361
200;light_01_short_09_2_600;600;600;3;short;582;392;599;430
201;light_01_short_09_2_600;600;600;3;short;507;467;545;502
202;light_01_short_09_2_600;600;600;3;short;309;196;348;232
203;light_01_short_09_2_600;600;600;3;short;376;176;405;207
204;light_01_short_09_3_600;600;600;3;short;170;331;209;373
205;light_01_short_09_3_600;600;600;3;short;376;300;431;361
206;light_01_short_10_1_600;600;600;3;short;343;577;377;599
207;light_01_short_10_1_600;600;600;3;short;392;559;413;587
208;light_01_short_10_2_600;600;600;3;short;343;177;377;208
209;light_01_short_10_2_600;600;600;3;short;495;358;529;394
210;light_01_short_10_2_600;600;600;3;short;392;159;413;187
211;light_01_short_11_1_600;600;600;3;short;389;557;415;586
212;light_01_short_11_2_600;600;600;3;short;389;157;415;186
213;light_01_short_11_4_600;600;600;3;short;26;186;78;246
214;light_01_short_11_4_600;600;600;3;short;378;272;429;323
215;light_01_short_12_1_600;600;600;3;short;381;555;413;587
216;light_01_short_12_2_600;600;600;3;short;472;465;505;503
217;light_01_short_12_2_600;600;600;3;short;381;155;413;187
218;light_01_short_13_1_600;600;600;3;short;385;555;413;587
219;light_01_short_13_2_600;600;600;3;short;385;155;413;187
220;light_01_short_13_3_600;600;600;3;short;1;467;34;508
221;light_01_short_13_3_600;600;600;3;short;380;333;431;402
222;light_01_short_14_1_600;600;600;3;short;387;552;415;587
223;light_01_short_14_2_600;600;600;3;short;342;191;373;229
224;light_01_short_14_2_600;600;600;3;short;387;152;415;187
225;light_01_short_14_3_600;600;600;3;short;110;409;154;449
226;light_01_short_14_3_600;600;600;3;short;206;341;258;392
227;light_01_short_15_1_600;600;600;3;short;384;555;415;587
228;light_01_short_15_2_600;600;600;3;short;441;302;464;334
229;light_01_short_15_2_600;600;600;3;short;384;155;415;187
230;light_01_short_15_2_600;600;600;3;short;282;193;314;220
231;light_01_short_15_3_600;600;600;3;short;371;575;412;599
232;light_01_short_16_1_600;600;600;3;short;390;559;415;587
233;light_01_short_16_2_600;600;600;3;short;390;159;415;187
234;light_01_short_16_3_600;600;600;3;short;41;438;74;488
235;light_01_short_16_4_600;600;600;3;short;376;268;417;325
236;light_01_short_16_4_600;600;600;3;short;41;38;74;88
237;light_01_short_16_5_600;600;600;3;short;375;93;430;155
238;light_01_short_17_1_600;600;600;3;short;342;570;376;599
239;light_01_short_17_1_600;600;600;3;short;389;560;413;585
240;light_01_short_17_2_600;600;600;3;short;342;170;376;208
241;light_01_short_17_2_600;600;600;3;short;354;264;379;298
242;light_01_short_17_2_600;600;600;3;short;389;160;413;185
243;light_01_short_18_1_600;600;600;3;short;392;561;411;583
244;light_01_short_18_2_600;600;600;3;short;509;336;548;370
245;light_01_short_18_2_600;600;600;3;short;516;432;551;464
246;light_01_short_18_2_600;600;600;3;short;392;161;411;183
247;light_01_short_19_1_600;600;600;3;short;389;555;413;586
248;light_01_short_19_2_600;600;600;3;short;389;155;413;186
249;light_01_short_19_3_600;600;600;3;short;399;302;447;361
250;light_01_short_20_1_600;600;600;3;short;385;557;417;591
251;light_01_short_20_2_600;600;600;3;short;456;304;487;339
252;light_01_short_20_2_600;600;600;3;short;385;157;417;191
253;light_01_short_20_3_600;600;600;3;short;399;1;439;38
254;light_01_spurious_copper_01_1_600;600;600;3;spurious_copper;494;292;529;325
255;light_01_spurious_copper_01_2_600;600;600;3;spurious_copper;40;309;74;334
256;light_01_spurious_copper_01_3_600;600;600;3;spurious_copper;379;464;422;493
257;light_01_spurious_copper_02_1_600;600;600;3;spurious_copper;449;290;488;305
258;light_01_spurious_copper_02_2_600;600;600;3;spurious_copper;401;50;435;63
259;light_01_spurious_copper_02_2_600;600;600;3;spurious_copper;266;533;315;576
260;light_01_spurious_copper_03_1_600;600;600;3;spurious_copper;315;347;336;406
261;light_01_spurious_copper_03_1_600;600;600;3;spurious_copper;514;399;544;457
262;light_01_spurious_copper_04_1_600;600;600;3;spurious_copper;35;458;68;471
263;light_01_spurious_copper_04_2_600;600;600;3;spurious_copper;35;319;82;336
264;light_01_spurious_copper_04_2_600;600;600;3;spurious_copper;35;58;68;71
265;light_01_spurious_copper_04_3_600;600;600;3;spurious_copper;352;578;409;599
266;light_01_spurious_copper_05_1_600;600;600;3;spurious_copper;261;576;294;599
267;light_01_spurious_copper_05_2_600;600;600;3;spurious_copper;340;222;401;238
268;light_01_spurious_copper_05_2_600;600;600;3;spurious_copper;468;396;488;439
269;light_01_spurious_copper_05_2_600;600;600;3;spurious_copper;261;176;294;201
270;light_01_spurious_copper_06_1_600;600;600;3;spurious_copper;475;246;535;308
271;light_01_spurious_copper_06_2_600;600;600;3;spurious_copper;327;296;360;316
272;light_01_spurious_copper_06_3_600;600;600;3;spurious_copper;397;219;435;237
273;light_01_spurious_copper_07_1_600;600;600;3;spurious_copper;315;468;353;485
274;light_01_spurious_copper_07_1_600;600;600;3;spurious_copper;337;545;357;599
275;light_01_spurious_copper_07_2_600;600;600;3;spurious_copper;315;68;353;85
276;light_01_spurious_copper_07_2_600;600;600;3;spurious_copper;337;145;357;200
277;light_01_spurious_copper_07_3_600;600;600;3;spurious_copper;487;344;580;377
278;light_01_spurious_copper_08_1_600;600;600;3;spurious_copper;389;582;427;597
279;light_01_spurious_copper_08_2_600;600;600;3;spurious_copper;389;182;427;197
280;light_01_spurious_copper_08_2_600;600;600;3;spurious_copper;69;267;147;343
281;light_01_spurious_copper_08_3_600;600;600;3;spurious_copper;311;560;375;583
282;light_01_spurious_copper_09_1_600;600;600;3;spurious_copper;314;350;339;423
283;light_01_spurious_copper_09_1_600;600;600;3;spurious_copper;118;489;170;508
284;light_01_spurious_copper_10_1_600;600;600;3;spurious_copper;407;4;433;24
285;light_01_spurious_copper_11_1_600;600;600;3;spurious_copper;451;264;513;304
286;light_01_spurious_copper_11_2_600;600;600;3;spurious_copper;451;363;476;436
287;light_01_spurious_copper_11_3_600;600;600;3;spurious_copper;22;496;65;524
288;light_01_spurious_copper_12_1_600;600;600;3;spurious_copper;166;309;243;344
289;light_01_spurious_copper_12_1_600;600;600;3;spurious_copper;385;286;430;323
290;light_01_spurious_copper_12_1_600;600;600;3;spurious_copper;411;366;461;419
291;light_01_spurious_copper_13_1_600;600;600;3;spurious_copper;247;362;285;389
292;light_01_spurious_copper_13_1_600;600;600;3;spurious_copper;9;171;77;191
293;light_01_spurious_copper_13_2_600;600;600;3;spurious_copper;505;569;590;599
294;light_01_spurious_copper_14_1_600;600;600;3;spurious_copper;470;351;507;398
295;light_01_spurious_copper_14_2_600;600;600;3;spurious_copper;396;187;444;210
296;light_01_spurious_copper_14_2_600;600;600;3;spurious_copper;92;489;190;528
297;light_01_spurious_copper_15_1_600;600;600;3;spurious_copper;264;576;294;599
298;light_01_spurious_copper_15_2_600;600;600;3;spurious_copper;381;228;403;268
299;light_01_spurious_copper_15_2_600;600;600;3;spurious_copper;264;176;294;204
300;light_01_spurious_copper_15_3_600;600;600;3;spurious_copper;212;502;261;543
301;light_01_spurious_copper_16_1_600;600;600;3;spurious_copper;31;458;52;481
302;light_01_spurious_copper_16_1_600;600;600;3;spurious_copper;347;337;383;367
303;light_01_spurious_copper_16_2_600;600;600;3;spurious_copper;31;58;52;81
304;light_01_spurious_copper_16_3_600;600;600;3;spurious_copper;397;67;440;101
305;light_01_spurious_copper_17_1_600;600;600;3;spurious_copper;28;419;73;455
306;light_01_spurious_copper_17_2_600;600;600;3;spurious_copper;467;367;499;432
307;light_01_spurious_copper_18_1_600;600;600;3;spurious_copper;477;412;517;456
308;light_01_spurious_copper_18_2_600;600;600;3;spurious_copper;404;360;449;437
309;light_01_spurious_copper_18_2_600;600;600;3;spurious_copper;90;490;204;533
310;light_01_spurious_copper_19_1_600;600;600;3;spurious_copper;282;222;302;271
311;light_01_spurious_copper_19_2_600;600;600;3;spurious_copper;43;351;106;406
312;light_01_spurious_copper_20_1_600;600;600;3;spurious_copper;444;495;479;577
313;light_01_spurious_copper_20_2_600;600;600;3;spurious_copper;444;95;479;177
314;light_01_spurious_copper_20_3_600;600;600;3;spurious_copper;370;349;402;419
315;light_01_spurious_copper_20_3_600;600;600;3;spurious_copper;360;510;444;543
316;light_01_spur_01_2_600;600;600;3;spur;256;509;273;528
317;light_01_spur_02_1_600;600;600;3;spur;484;330;506;355
318;light_01_spur_02_1_600;600;600;3;spur;455;373;477;393
319;light_01_spur_02_1_600;600;600;3;spur;519;444;543;467
320;light_01_spur_03_1_600;600;600;3;spur;397;495;419;517
321;light_01_spur_04_2_600;600;600;3;spur;397;192;422;213
322;light_01_spur_04_2_600;600;600;3;spur;47;330;68;349
323;light_01_spur_04_2_600;600;600;3;spur;158;321;183;348
324;light_01_spur_05_1_600;600;600;3;spur;49;533;79;557
325;light_01_spur_05_2_600;600;600;3;spur;154;293;173;314
326;light_01_spur_05_2_600;600;600;3;spur;49;133;79;157
327;light_01_spur_05_3_600;600;600;3;spur;551;315;583;339
328;light_01_spur_06_1_600;600;600;3;spur;76;373;98;398
329;light_01_spur_06_1_600;600;600;3;spur;337;284;359;305
330;light_01_spur_06_1_600;600;600;3;spur;64;182;93;206
331;light_01_spur_07_1_600;600;600;3;spur;397;55;420;78
332;light_01_spur_07_1_600;600;600;3;spur;414;166;438;191
333;light_01_spur_07_1_600;600;600;3;spur;181;47;225;84
334;light_01_spur_08_1_600;600;600;3;spur;297;534;331;566
335;light_01_spur_09_1_600;600;600;3;spur;495;252;521;278
336;light_01_spur_09_1_600;600;600;3;spur;299;209;326;237
337;light_01_spur_10_1_600;600;600;3;spur;299;249;333;272
338;light_01_spur_10_2_600;600;600;3;spur;113;305;132;328
339;light_01_spur_10_2_600;600;600;3;spur;335;348;353;368
340;light_01_spur_11_1_600;600;600;3;spur;378;506;400;532
341;light_01_spur_11_1_600;600;600;3;spur;455;468;481;485
342;light_01_spur_11_2_600;600;600;3;spur;378;106;400;132
343;light_01_spur_11_2_600;600;600;3;spur;455;68;481;85
344;light_01_spur_12_1_600;600;600;3;spur;373;214;393;236
345;light_01_spur_12_1_600;600;600;3;spur;380;356;406;383
346;light_01_spur_13_1_600;600;600;3;spur;301;451;320;471
347;light_01_spur_13_1_600;600;600;3;spur;387;490;408;505
348;light_01_spur_14_1_600;600;600;3;spur;399;308;422;329
349;light_01_spur_14_1_600;600;600;3;spur;407;54;431;73
350;light_01_spur_14_1_600;600;600;3;spur;275;174;297;196
351;light_01_spur_15_1_600;600;600;3;spur;253;270;296;298
352;light_01_spur_15_1_600;600;600;3;spur;453;182;488;209
353;light_01_spur_16_1_600;600;600;3;spur;136;414;157;436
354;light_01_spur_16_1_600;600;600;3;spur;32;219;59;242
355;light_01_spur_16_1_600;600;600;3;spur;214;298;243;322
356;light_01_spur_17_1_600;600;600;3;spur;79;376;98;401
357;light_01_spur_17_1_600;600;600;3;spur;254;378;279;396
358;light_01_spur_17_3_600;600;600;3;spur;558;274;581;291
359;light_01_spur_18_1_600;600;600;3;spur;265;280;292;307
360;light_01_spur_18_1_600;600;600;3;spur;372;200;393;216
361;light_01_spur_19_1_600;600;600;3;spur;221;336;245;359
362;light_01_spur_19_1_600;600;600;3;spur;392;335;417;356
363;light_01_spur_20_1_600;600;600;3;spur;38;327;70;348
364;light_04_missing_hole_01_1_600;600;600;3;missing_hole;569;388;593;418
365;light_04_missing_hole_01_2_600;600;600;3;missing_hole;569;1;593;18
366;light_04_missing_hole_01_3_600;600;600;3;missing_hole;229;307;247;333
367;light_04_missing_hole_01_4_600;600;600;3;missing_hole;220;246;240;267
368;light_04_missing_hole_01_5_600;600;600;3;missing_hole;549;107;567;133
369;light_04_missing_hole_01_5_600;600;600;3;missing_hole;540;446;560;467
370;light_04_missing_hole_01_5_600;600;600;3;missing_hole;249;188;273;218
371;light_04_missing_hole_02_1_600;600;600;3;missing_hole;406;309;427;330
372;light_04_missing_hole_02_2_600;600;600;3;missing_hole;499;320;520;346
373;light_04_missing_hole_02_3_600;600;600;3;missing_hole;123;308;142;330
374;light_04_missing_hole_02_4_600;600;600;3;missing_hole;443;108;462;130
375;light_04_missing_hole_02_4_600;600;600;3;missing_hole;86;109;107;130
376;light_04_missing_hole_02_4_600;600;600;3;missing_hole;179;520;200;546
377;light_04_missing_hole_03_1_600;600;600;3;missing_hole;520;526;547;559
378;light_04_missing_hole_03_2_600;600;600;3;missing_hole;520;126;547;159
379;light_04_missing_hole_03_2_600;600;600;3;missing_hole;289;261;313;294
380;light_04_missing_hole_03_3_600;600;600;3;missing_hole;365;243;393;269
381;light_04_missing_hole_03_4_600;600;600;3;missing_hole;200;326;227;359
382;light_04_missing_hole_04_1_600;600;600;3;missing_hole;404;555;433;590
